stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening F:\School\Introduction_to_Programming\Final_Project\G37_FInal_Project\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [  19.86165] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86166] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86167] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86173] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86174] converting display bitmap 000000000e9143f0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86180] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86181] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86181] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86187] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86188] converting display bitmap 000000000e913d30 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86194] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86195] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86196] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86200] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86201] converting display bitmap 000000000e913310 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86207] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86208] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86209] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86214] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86215] converting display bitmap 000000000e912fb0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86220] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86221] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86222] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86228] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86229] converting display bitmap 000000000e9128f0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86235] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86236] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86236] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86242] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86243] converting display bitmap 000000000e912740 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86249] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86250] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86251] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86256] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86257] converting display bitmap 000000000e912590 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86263] added dtor for bitmap 000000000e91b1a0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86264] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86265] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86270] removed dtor for bitmap 000000000e91b1a0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86271] converting display bitmap 000000000e9123e0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86277] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86278] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86279] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86285] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86286] converting display bitmap 000000000e912e00 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86292] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86292] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86293] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86299] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86300] converting display bitmap 000000000e912aa0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86305] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86306] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86307] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86313] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86314] converting display bitmap 000000000e912230 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86320] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86321] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86321] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86327] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86328] converting display bitmap 000000000e912080 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86334] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86335] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86336] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86341] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86342] converting display bitmap 000000000e912c50 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86348] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86349] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86350] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86355] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86356] converting display bitmap 000000000e913160 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86362] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86363] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86364] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86370] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86371] converting display bitmap 000000000e911ed0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86377] added dtor for bitmap 000000000e91b1a0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86378] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86378] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86384] removed dtor for bitmap 000000000e91b1a0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86385] converting display bitmap 000000000e90dd00 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86391] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86392] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86393] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86399] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86399] converting display bitmap 000000000e911d20 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86405] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86406] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86407] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86413] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86414] converting display bitmap 000000000e911b70 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86420] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86421] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86422] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86427] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86428] converting display bitmap 000000000e9119c0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86434] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86435] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86436] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86442] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86443] converting display bitmap 000000000e90d7f0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86448] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86450] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86450] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86457] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86458] converting display bitmap 000000000e911810 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86464] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86465] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86465] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86471] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86472] converting display bitmap 000000000e90d640 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86478] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86479] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86480] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86486] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86486] converting display bitmap 000000000e911660 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86492] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86493] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86494] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86500] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86501] converting display bitmap 000000000e90d490 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86506] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86507] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86508] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86514] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86515] converting display bitmap 000000000e9114b0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86521] added dtor for bitmap 000000000e91b1a0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86522] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86522] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86528] removed dtor for bitmap 000000000e91b1a0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86529] converting display bitmap 000000000e9103d0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86534] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86535] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86536] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86542] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86543] converting display bitmap 000000000e911150 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86549] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86550] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86550] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86556] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86557] converting display bitmap 000000000e90fb60 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86563] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86564] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86565] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86570] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86571] converting display bitmap 000000000e90f650 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86577] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86578] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86579] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86585] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86586] converting display bitmap 000000000e90ea80 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86592] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86593] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86593] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86599] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86600] converting display bitmap 000000000e90f9b0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86606] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86607] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86607] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86613] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86614] converting display bitmap 000000000e90db50 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86620] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86621] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86622] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86627] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86628] converting display bitmap 000000000e910fa0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86634] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86635] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86636] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86642] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86643] converting display bitmap 000000000e911300 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86649] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86650] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86651] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86656] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86657] converting display bitmap 000000000e90cf80 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86663] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86664] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86665] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86670] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86671] converting display bitmap 000000000e90f4a0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86677] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86678] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86679] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86685] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86686] converting display bitmap 000000000e90cdd0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86691] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86692] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86693] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86699] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86700] converting display bitmap 000000000e910070 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86705] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86706] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86707] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86713] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86714] converting display bitmap 000000000e90ec30 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86720] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86721] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86722] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86727] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86728] converting display bitmap 000000000e90d2e0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86734] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86735] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86736] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86741] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86742] converting display bitmap 000000000e90e720 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86748] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86750] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86750] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86756] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86757] converting display bitmap 000000000e910df0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86763] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86764] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86764] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86770] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86771] converting display bitmap 000000000e90e3c0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86777] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86778] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  19.86779] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  19.86784] removed dtor for bitmap 000000000e91f1c0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  19.86785] converting display bitmap 000000000e90cc20 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  19.86791] added dtor for bitmap 000000000e91f1c0, func 00007ffdb9531bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  19.86792] _al_d3d_sync_bitmap (system) ref count == 1
